"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-06-10T02:12:38.309509+00:00","Lahore","2","2","6","161","0.5","0.866025","0.0","-1.0","0.361714","-0.932289","0","0","1","2","33.1","40","7.1","71","7.6","971.3","0.0","17.9","0","12380.0","0.0","0.0","33.94","","2.5","0","55","pm25","55","17","10.6","37","5.5","5.6","1","Moderate","10.8451","12.9091","22.0","0","12.8","18.39","11.4266","82.0","122.0","110.33","20.14","-45.0","55","1","132","2","154","3","1"
"2026-06-10T06:57:45.644124+00:00","Lahore","6","2","6","161","1.0","0.0","0.0","-1.0","0.361714","-0.932289","0","0","0","2","42.5","48","6.1","115","8.6","972.3","0.25","19.0","0","11620.0","0.0","0.0","61.69","","-8.9","0","71","o3","55","19","9.6","70.8","5.5","4.1","1","Moderate","13.3443","8.5915","26.4","17.7","12.8","18.39","11.4266","82.0","122.0","110.33","20.14","-45.0","71","1","132","2","154","3","1"
"2026-06-10T10:53:00.286227+00:00","Lahore","10","2","6","161","0.5","-0.866025","0.0","-1.0","0.361714","-0.932289","0","0","0","2","43.3","30","11.8","176","18.0","973.9","6.4","19.0","0","12380.0","0.0","0.0","50.11","","-0.3","2","87","pm25","87","39","7.8","70.1","5.5","4.1","1","Moderate","9.5847","13.5632","26.1","448.64","12.5","17.2016","12.6229","82.0","122.0","110.33","20.14","-45.0","87","1","132","2","154","3","1"
