"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-06-29T03:58:20.925373+00:00","Lahore","3","0","6","180","0.707107","0.707107","0.0","-1.0","0.043022","-0.999074","0","0","1","2","33.6","62","12.4","222","14.0","971.8","0.0","23.4","1","10520.0","0.0","0.0","41.89","","3.1","0","57","pm25","57","19","6.4","43.1","5.5","3.1","1","Moderate","7.4468","21.7544","35.34","0.0","10.3","12.0714","6.5027","82.0","122.0","110.33","20.14","-45.0","57","1","153","3","183","3","1"
"2026-06-29T08:55:26.509488+00:00","Lahore","8","0","6","180","0.866025","-0.5","0.0","-1.0","0.043022","-0.999074","0","1","0","2","40.7","53","9.5","130","24.8","972.6","0.5","23.9","1","10520.0","0.0","0.0","59.48","","-0.3","95","50","pm25","50","16","5.1","40.3","4.6","3.1","0","Good","8.0526","19.0","26.5","20.15","9.0","9.9289","5.8437","82.0","122.0","110.33","20.14","-45.0","50","0","153","3","183","3","1"
"2026-06-29T12:57:12.337076+00:00","Lahore","12","0","6","180","0.0","-1.0","0.0","-1.0","0.043022","-0.999074","0","0","0","2","38.9","39","7.7","183","24.5","973.5","8.45","22.3","0","12600.0","0.0","0.0","45.03","","5.3","95","55","pm25","55","20","6","34.6","5.5","2.6","1","Moderate","9.9286","14.0","21.45","292.37","8.4","8.5991","5.6908","82.0","122.0","110.33","20.14","-45.0","55","1","153","3","183","3","1"
