"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-06-09T02:00:23.276998+00:00","Lahore","2","1","6","160","0.5","0.866025","0.0","-1.0","0.377708","-0.925925","0","0","1","2","32.8","35","4.7","277","5.4","972.6","0.0","16.1","0","12380.0","0.0","0.0","32.52","","2.0","0","53","pm25","53","17","14.7","30.5","5.5","3.1","1","Moderate","15.2234","8.8679","18.55","0.0","12.0","16.2121","8.5596","82.0","122.0","110.33","20.14","-45.0","53","1","159","3","131","2","1"
"2026-06-09T06:11:18.898187+00:00","Lahore","6","1","6","160","1.0","0.0","0.0","-1.0","0.377708","-0.925925","0","0","0","2","41.2","43","6.6","77","9.4","973.4","0.25","16.9","0","11620.0","0.0","0.0","53.5","","-8.8","0","50","pm25","50","19","8.3","42.7","4.6","4.1","0","Good","10.8333","13.2","21.5","10.675","12.0","16.2121","8.5596","82.0","122.0","110.33","20.14","-45.0","50","0","159","3","131","2","1"
"2026-06-09T10:27:36.304759+00:00","Lahore","10","1","6","160","0.5","-0.866025","0.0","-1.0","0.377708","-0.925925","0","0","0","2","42.6","22","12.6","207","11.9","974.3","6.4","14.8","0","12400.0","0.0","0.0","44.2","","-0.6","1","48","o3","38","15","9.2","48","4.6","4.1","0","Good","3.6794","26.25","8.36","307.2","10.9","15.0299","11.1969","82.0","122.0","110.33","20.14","-45.0","48","0","159","3","131","2","1"
"2026-06-09T13:36:58.689991+00:00","Lahore","13","1","6","160","-0.258819","-0.965926","0.0","-1.0","0.377708","-0.925925","0","0","0","2","40.2","15","5.6","197","22.0","973.1","8.45","11.2","15","12420.0","0.0","0.0","38.25","","4.1","0","42","pm25","42","16","13.8","36.6","5.5","4.1","0","Good","8.625","13.3333","6.3","309.27","11.0","14.7058","9.1491","82.0","122.0","110.33","20.14","-45.0","42","0","159","3","131","2","1"
"2026-06-09T16:25:14.767304+00:00","Lahore","16","1","6","160","-0.866025","-0.5","0.0","-1.0","0.377708","-0.925925","0","0","0","2","36.9","15","2.3","234","20.2","971.9","4.85","10.7","36","12420.0","0.0","0.0","34.52","","3.8","0","59","pm25","59","18","9.6","34.2","4.6","4.1","1","Moderate","29.5","3.8983","8.85","165.87","11.0","14.7058","11.3516","82.0","122.0","110.33","20.14","-45.0","59","1","159","3","131","2","1"
"2026-06-09T19:06:49.312038+00:00","Lahore","19","1","6","160","-0.965926","0.258819","0.0","-1.0","0.377708","-0.925925","0","1","0","2","35.6","28","3.0","271","6.1","971.1","0.3","18.3","2","12380.0","0.0","0.0","35.11","","6.5","0","65","pm25","65","20","6.9","39.4","4.6","4.1","1","Moderate","27.7333","4.6154","18.2","11.82","13.0","18.1439","3.7189","82.0","122.0","110.33","20.14","-45.0","65","1","132","2","154","3","1"
"2026-06-09T21:29:28.797670+00:00","Lahore","21","1","6","160","-0.707107","0.707107","0.0","-1.0","0.377708","-0.925925","0","0","0","2","34.1","36","7.6","281","2.5","971.9","0.0","20.1","1","12380.0","0.0","0.0","34.63","","7.1","0","89","pm25","89","35","10.1","33.3","4.6","3.1","1","Moderate","15.9263","8.5393","32.04","0.0","12.1","15.6623","5.7315","82.0","122.0","110.33","20.14","-45.0","89","1","132","2","154","3","1"
"2026-06-09T23:09:39.560272+00:00","Lahore","23","1","6","160","-0.258819","0.965926","0.0","-1.0","0.377708","-0.925925","0","0","1","2","32.4","41","9.1","124","10.8","971.6","0.0","21.1","0","12360.0","0.0","0.0","33.06","","8.2","0","97","pm25","97","39","21.1","13.5","5.5","4.6","1","Moderate","15.0297","9.3814","39.77","0.0","12.1","15.6623","5.7315","82.0","122.0","110.33","20.14","-45.0","97","1","132","2","154","3","1"
