"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-06-19T00:19:46.205370+00:00","Lahore","0","4","6","170","0.0","1.0","0.0","-1.0","0.213521","-0.976938","0","0","1","2","28.3","63","1.3","262","11.2","977.2","0.0","22.0","0","10400.0","0.0","0.0","30.28","","5.8","0","63","pm25","63","21","10.1","14.3","5.5","4.1","1","Moderate","78.9923","2.0635","39.69","0.0","11.3","12.3646","9.8302","82.0","122.0","110.33","20.14","-45.0","63","1","246","4","156","3","1"
"2026-06-19T06:07:51.881271+00:00","Lahore","6","4","6","170","1.0","0.0","0.0","-1.0","0.213521","-0.976938","0","0","0","2","35.3","70","3.7","189","6.5","978.4","0.25","21.3","5","8780.0","0.0","0.0","51.46","","-3.8","0","36","o3","34","9","6","35.8","5.5","3.1","0","Good","15.6216","10.2778","23.8","8.95","10.2","10.6441","10.3041","82.0","122.0","110.33","20.14","-45.0","36","0","246","4","156","3","1"
"2026-06-19T11:13:35.411322+00:00","Lahore","11","4","6","170","0.258819","-0.965926","0.0","-1.0","0.213521","-0.976938","0","0","0","2","35.8","47","2.5","12","16.6","979.6","7.65","20.1","3","11600.0","0.0","0.0","41.36","","1.4","0","34","pm25","34","11","11","25.2","6.4","2.6","0","Good","19.992","7.3529","15.98","192.78","10.2","11.2208","8.4514","82.0","122.0","110.33","20.14","-45.0","34","0","246","4","156","3","1"
