"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-07-03T01:51:58.526857+00:00","Lahore","1","4","7","184","0.258819","0.965926","-0.5","-0.866025","-0.025818","-0.999667","0","0","1","2","29.9","76","8.2","90","13.0","976.3","0.0","25.5","2","8900.0","0.0","0.0","36.29","","6.1","0","55","pm25","55","15","9.2","15.1","3.7","3.6","1","Moderate","11.8049","14.9091","41.8","0.0","9.0","8.9898","5.5624","82.0","122.0","110.33","20.14","-45.0","55","1","246","4","244","4","1"
"2026-07-03T08:46:59.052538+00:00","Lahore","8","4","7","184","0.866025","-0.5","-0.5","-0.866025","-0.025818","-0.999667","0","1","0","2","37.7","67","2.0","109","19.4","977.3","2.7","25.2","0","9760.0","0.0","0.0","58.88","","-0.2","0","89","pm25","89","33","8.7","54.5","5.5","4.1","1","Moderate","74.315","2.2472","59.63","147.15","8.5","9.1804","8.2402","82.0","122.0","110.33","20.14","-45.0","89","1","246","4","244","4","1"
"2026-07-03T11:25:14.203161+00:00","Lahore","11","4","7","184","0.258819","-0.965926","-0.5","-0.866025","-0.025818","-0.999667","0","0","0","2","37.3","50","5.5","116","13.7","977.0","7.55","24.0","13","10580.0","0.0","0.0","46.6","","4.7","0","91","pm25","91","35","16.5","24","5.5","4.1","1","Moderate","24.8182","6.044","45.5","181.2","8.5","9.1804","8.2402","82.0","122.0","110.33","20.14","-45.0","91","1","246","4","244","4","1"
