"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-06-25T02:47:14.589799+00:00","Lahore","2","3","6","176","0.5","0.866025","0.0","-1.0","0.111659","-0.993747","0","0","1","2","26.3","58","6.5","135","14.0","975.4","0.0","21.1","2","10480.0","0.0","0.0","","","6.9","53","50","pm25","50","15","11.5","24.4","5.5","3.1","0","Good","12.1538","13.0","29.0","0.0","10.5","9.3256","22.9927","82.0","122.0","110.33","20.14","-45.0","50","0","142","2","156","3","1"
"2026-06-25T06:39:58.528038+00:00","Lahore","6","3","6","176","1.0","0.0","0.0","-1.0","0.111659","-0.993747","0","0","0","2","33.1","95","2.5","132","27.7","977.9","0.25","23.9","98","1340.0","5.7","1.6","57.03","","-3.6","95","53","pm25","53","18","11","24.8","5.5","3.1","1","Moderate","41.34","4.717","50.35","6.2","10.5","9.3256","22.9927","82.0","122.0","110.33","20.14","-45.0","53","1","142","2","156","3","1"
"2026-06-25T10:10:42.428049+00:00","Lahore","10","3","6","176","0.5","-0.866025","0.0","-1.0","0.111659","-0.993747","0","0","0","2","32.0","76","2.1","74","32.0","979.9","4.9","22.3","100","4140.0","0.1","0.1","42.71","","-1.7","3","53","pm25","53","18","11","24.8","5.5","3.1","1","Moderate","44.419","3.9623","40.28","121.52","8.2","6.2704","23.8508","82.0","122.0","110.33","20.14","-45.0","53","1","142","2","156","3","1"
"2026-06-25T13:10:10.363863+00:00","Lahore","13","3","6","176","-0.258819","-0.965926","0.0","-1.0","0.111659","-0.993747","0","0","0","2","29.9","69","5.3","74","28.4","978.8","8.45","22.2","100","9680.0","0.0","0.0","34.56","","2.5","0","53","pm25","53","21","12.8","24.8","4.6","4.6","1","Moderate","16.9","10.0","36.57","209.56","6.9","4.0441","19.6673","82.0","122.0","110.33","20.14","-45.0","53","1","142","2","156","3","1"
