"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-09-19T00:45:31.476860+00:00","Lahore","0","5","9","262","0.0","1.0","-1.0","-0.0","-0.979614","-0.200891","1","0","1","3","24.0","81","0.3","276","5.4","983.9","0.0","22.1","0","7440.0","0.0","0.0","","","6.3","0","57","pm25","57","17","6.9","26","6.4","3.6","1","Moderate","343.9","0.5263","46.17","0","9.1","9.8816","0.8425","82.0","122.0","110.33","20.14","-45.0","57","1","128","2","134","2","1"
"2026-09-19T05:15:39.376659+00:00","Lahore","5","5","9","262","0.965926","0.258819","-1.0","-0.0","-0.979614","-0.200891","1","0","1","3","30.8","87","1.0","297","3.2","984.1","0.0","22.3","0","6520.0","0.0","0.0","42.71","","-1.2","0","76","pm25","76","30","7.8","41.1","6.4","3.1","1","Moderate","142.12","1.3158","66.12","0.0","8.4","8.3225","1.3819","82.0","122.0","110.33","20.14","-45.0","76","1","128","2","134","2","1"
"2026-09-19T09:53:44.484809+00:00","Lahore","9","5","9","262","0.707107","-0.707107","-1.0","-0.0","-0.979614","-0.200891","1","1","0","3","33.1","65","1.3","139","6.8","987.1","3.3","21.9","0","8260.0","0.0","0.0","41.69","","0.7","0","53","pm25","53","18","7.8","31.3","5.5","2.6","1","Moderate","67.2692","2.4528","34.45","103.29","8.7","8.8175","0.8608","82.0","122.0","110.33","20.14","-45.0","53","1","128","2","134","2","1"
"2026-09-19T13:33:32.283302+00:00","Lahore","13","5","9","262","-0.258819","-0.965926","-1.0","-0.0","-0.979614","-0.200891","1","0","0","3","29.6","47","1.4","45","5.8","986.6","6.85","20.0","1","10480.0","0.0","0.0","30.06","","8.3","0","65","pm25","65","28","12.4","23.6","6.4","2.6","1","Moderate","68.25","2.1538","30.55","161.66","8.7","8.8175","0.8608","82.0","122.0","110.33","20.14","-45.0","65","1","128","2","134","2","1"
"2026-09-19T16:52:58.255349+00:00","Lahore","16","5","9","262","-0.866025","-0.5","-1.0","-0.0","-0.979614","-0.200891","1","0","0","3","26.7","45","1.8","69","11.2","984.8","3.1","19.0","1","10480.0","0.0","0.0","","","8.6","0","50","pm25","50","18","7.8","36.6","5.5","2.6","0","Good","40.2778","3.6","22.5","113.46","8.3","8.0575","0.8644","82.0","122.0","110.33","20.14","-45.0","50","0","128","2","134","2","1"
"2026-09-19T19:03:18.116228+00:00","Lahore","19","5","9","262","-0.965926","0.258819","-1.0","-0.0","-0.979614","-0.200891","1","1","0","3","25.2","63","2.3","333","7.9","986.0","0.0","21.3","0","9060.0","0.0","0.0","","","7.6","0","50","pm25","50","18","6.0","37.0","5.5","2.6","0","Good","35.4348","4.6","31.5","0.0","10.2","12.5323","2.1716","82.0","122.0","110.33","20.14","-45.0","50","0","134","2","127","2","1"
"2026-09-19T21:54:00.123125+00:00","Lahore","21","5","9","262","-0.707107","0.707107","-1.0","-0.0","-0.979614","-0.200891","1","0","0","3","24.3","71","2.9","305","7.2","986.9","0.0","21.9","0","8240.0","0.0","0.0","","","7.5","0","38","o3","53","19","6.0","38.2","5.5","4.1","0","Good","31.2517","7.6316","37.63","0.0","10.2","12.5323","2.1716","82.0","122.0","110.33","20.14","-45.0","38","0","134","2","127","2","1"
"2026-09-19T23:45:59.094560+00:00","Lahore","23","5","9","262","-0.258819","0.965926","-1.0","-0.0","-0.979614","-0.200891","1","0","1","3","23.8","76","3.3","286","6.5","986.8","0.0","21.9","0","8240.0","0.0","0.0","","","7.4","0","55","pm25","55","21","8.3","37.4","6.4","4.1","1","Moderate","29.3333","6.0","41.8","0.0","10.2","12.5323","2.1716","82.0","122.0","110.33","20.14","-45.0","55","1","134","2","127","2","1"
