timestamp,city,hour,day_of_week,month,day_of_year,hour_sin,hour_cos,month_sin,month_cos,doy_sin,doy_cos,is_weekend,is_peak_hour,is_night,season,temp_c,humidity_pct,windspeed_kmh,winddir_deg,windgusts_kmh,pressure_hpa,uv_index,dew_point_c,cloudcover_pct,visibility_m,precipitation_mm,rain_mm,heat_index_c,wind_chill_c,apparent_temp_delta,weathercode,aqi,dominant_poll,pm25_iaqi,pm10_iaqi,no2_iaqi,o3_iaqi,co_iaqi,so2_iaqi,aqi_cat_ordinal,aqi_cat_label,pollution_accumulation_idx,ventilation_idx,humidity_pm25_interaction,uv_o3_interaction,temp_range_c,temp_variance,wind_variance,aqi_lag_1h,aqi_lag_3h,aqi_rolling_3h_mean,aqi_rolling_3h_std,aqi_change_rate_1h,target_aqi_current,target_aqi_cat_current,target_pm25_day1_avg,target_aqi_cat_day1,target_pm25_day2_avg,target_aqi_cat_day2,target_trend_direction
2026-04-27T01:45:30.480223+00:00,Lahore,1,0,4,117,0.258819,0.965926,0.866025,-0.5,0.903356,-0.428892,0,0,1,1,27.9,32,4.9,327,7.9,977.2,0.0,11.2,1,20140.0,0.0,0.0,27.12,,1.5,0,89,pm25,89,50,17.9,38.2,6.4,5.1,1,Moderate,23.9755,5.5056,28.48,0.0,14.4,24.6708,14.8266,127.0,122.0,123.67,2.36,5.0,89,1,159,3,168,3,1
2026-04-27T04:59:54.389185+00:00,Lahore,4,0,4,117,0.866025,0.5,0.866025,-0.5,0.903356,-0.428892,0,0,1,1,35.9,38,2.0,337,8.6,976.2,0.0,11.4,0,20100.0,0.0,0.0,38.28,,-9.2,0,85,pm25,85,52,13.8,74.0,7.3,5.1,1,Moderate,58.65,2.3529,32.3,0.0,14.4,24.6708,14.8266,127.0,122.0,123.67,2.36,5.0,85,1,159,3,168,3,1
2026-04-27T07:34:46.540948+00:00,Lahore,7,0,4,117,0.965926,-0.258819,0.866025,-0.5,0.903356,-0.428892,0,1,0,1,40.2,34,2.0,63,5.4,977.4,0.85,11.3,7,20060.0,0.0,0.0,45.46,,-12.0,3,99,o3,89,53,11.5,99.4,6.4,5.1,1,Moderate,59.63,2.0202,30.26,84.49,13.8,20.9854,18.8991,127.0,122.0,123.67,2.36,5.0,99,1,159,3,168,3,1
2026-04-27T10:05:37.331226+00:00,Lahore,10,0,4,117,0.5,-0.866025,0.866025,-0.5,0.903356,-0.428892,0,0,0,1,40.2,19,11.1,90,10.8,978.7,5.95,9.5,9,20180.0,0.0,0.0,39.35,,-3.1,3,104,pm25,104,57,13.8,92.3,6.4,5.1,2,Unhealthy for Sensitive Groups,11.1495,10.6731,19.76,549.185,13.8,20.9854,18.8991,127.0,122.0,123.67,2.36,5.0,104,2,159,3,168,3,1
2026-04-27T12:15:55.423989+00:00,Lahore,12,0,4,117,0.0,-1.0,0.866025,-0.5,0.903356,-0.428892,0,0,0,1,36.5,16,10.1,18,15.5,977.5,7.45,9.1,68,20280.0,0.0,0.0,34.22,,5.0,3,134,pm25,134,66,24.3,77.3,8.2,5.6,2,Unhealthy for Sensitive Groups,15.3901,7.5373,21.44,575.885,13.8,20.9854,18.8991,127.0,122.0,123.67,2.36,5.0,134,2,159,3,168,3,1
2026-04-27T14:56:26.744124+00:00,Lahore,14,0,4,117,-0.5,-0.866025,0.866025,-0.5,0.903356,-0.428892,0,0,0,1,34.1,14,5.9,287,24.1,976.3,7.35,8.2,91,20260.0,0.0,0.0,31.65,,5.3,1,127,pm25,127,64,20.2,64.3,9.1,5.1,2,Unhealthy for Sensitive Groups,24.539,4.6457,17.78,472.605,13.5,19.8175,20.0223,127.0,122.0,123.67,2.36,5.0,127,2,159,3,168,3,1
2026-04-27T16:21:19.895684+00:00,Lahore,16,0,4,117,-0.866025,-0.5,0.866025,-0.5,0.903356,-0.428892,0,0,0,1,32.3,22,1.0,304,26.3,976.1,3.65,11.8,94,20100.0,0.0,0.0,30.39,,2.2,2,134,pm25,134,65,23.4,46.3,11.8,5.1,2,Unhealthy for Sensitive Groups,163.48,0.7463,29.48,168.995,13.5,19.8175,20.0223,127.0,122.0,123.67,2.36,5.0,134,2,159,3,168,3,1
2026-04-27T17:59:51.097062+00:00,Lahore,17,0,4,117,-0.965926,-0.258819,0.866025,-0.5,0.903356,-0.428892,0,1,0,1,30.8,19,1.0,291,22.7,975.6,2.15,9.8,100,20220.0,0.0,0.0,28.87,,4.6,3,142,pm25,142,71,50.4,33.8,10.0,4.6,2,Unhealthy for Sensitive Groups,168.98,0.7042,26.98,72.67,13.5,19.8175,20.0223,127.0,122.0,123.67,2.36,5.0,142,2,159,3,168,3,1
2026-04-27T19:25:16.836363+00:00,Lahore,19,0,4,117,-0.965926,0.258819,0.866025,-0.5,0.903356,-0.428892,0,1,0,1,30.1,55,0.9,84,26.6,976.9,0.05,19.1,100,18680.0,0.0,0.0,32.06,,2.2,3,154,pm25,154,77,33.9,30.9,10.0,5.1,3,Unhealthy,265.2222,0.5844,84.7,1.545,12.3,13.1854,18.1297,127.0,122.0,123.67,2.36,5.0,154,3,168,3,151,3,1
